Image_1,Image_2,Modality,Folder_1,Folder_2,pHash_Distance,dHash_Distance,Similarity_Classification,Recommended_Action
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00013.png,ct,normal,normal,5,5,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00016.png,ct,normal,normal,3,1,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00017.png,ct,normal,normal,5,6,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00022.png,ct,normal,normal,4,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00026.png,ct,normal,normal,4,6,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00027.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00028.png,ct,normal,normal,4,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00029.png,ct,normal,normal,5,5,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00030.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00032.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00034.png,ct,normal,normal,5,3,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00039.png,ct,normal,normal,3,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00041.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00043.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00045.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00046.png,ct,normal,normal,4,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00048.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00050.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00051.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00052.png,ct,normal,normal,5,2,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00053.png,ct,normal,normal,5,5,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00054.png,ct,normal,normal,3,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00055.png,ct,normal,normal,4,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00057.png,ct,normal,normal,4,6,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00061.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00062.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00063.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/tumor/CT00068.png,ct,normal,tumor,7,5,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/tumor/CT00085.png,ct,normal,tumor,10,6,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/tumor/CT00093.png,ct,normal,tumor,10,7,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/tumor/CT00116.png,ct,normal,tumor,9,6,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/tumor/CT00121.png,ct,normal,tumor,8,8,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00007.png,ct,normal,normal,4,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00008.png,ct,normal,normal,3,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00009.png,ct,normal,normal,3,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00010.png,ct,normal,normal,3,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00013.png,ct,normal,normal,4,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00016.png,ct,normal,normal,4,6,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00017.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00022.png,ct,normal,normal,3,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00026.png,ct,normal,normal,3,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00027.png,ct,normal,normal,3,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00028.png,ct,normal,normal,5,4,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00029.png,ct,normal,normal,4,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00030.png,ct,normal,normal,3,6,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00032.png,ct,normal,normal,3,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00034.png,ct,normal,normal,6,6,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00039.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00041.png,ct,normal,normal,3,6,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00043.png,ct,normal,normal,3,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00045.png,ct,normal,normal,3,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00046.png,ct,normal,normal,3,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00048.png,ct,normal,normal,3,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00050.png,ct,normal,normal,3,6,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00051.png,ct,normal,normal,3,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00052.png,ct,normal,normal,6,5,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00053.png,ct,normal,normal,4,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00054.png,ct,normal,normal,6,5,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00055.png,ct,normal,normal,3,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00057.png,ct,normal,normal,5,1,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00061.png,ct,normal,normal,3,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00062.png,ct,normal,normal,5,7,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/normal/CT00063.png,ct,normal,normal,3,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/tumor/CT00068.png,ct,normal,tumor,8,10,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/tumor/CT00093.png,ct,normal,tumor,9,8,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/tumor/CT00116.png,ct,normal,tumor,8,7,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00003.png,data/raw/ct_images/tumor/CT00121.png,ct,normal,tumor,7,9,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00005.png,ct,normal,normal,4,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00006.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00011.png,ct,normal,normal,4,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00012.png,ct,normal,normal,4,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00014.png,ct,normal,normal,4,7,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00015.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00018.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00019.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00020.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00021.png,ct,normal,normal,4,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00023.png,ct,normal,normal,4,8,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00024.png,ct,normal,normal,4,9,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00025.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00031.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00033.png,ct,normal,normal,5,4,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00035.png,ct,normal,normal,4,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00036.png,ct,normal,normal,3,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00037.png,ct,normal,normal,4,6,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00038.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00040.png,ct,normal,normal,3,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00042.png,ct,normal,normal,4,1,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00044.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00047.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00049.png,ct,normal,normal,3,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00056.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00058.png,ct,normal,normal,6,3,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00059.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00060.png,ct,normal,normal,5,9,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00064.png,ct,normal,normal,3,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/normal/CT00065.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00004.png,data/raw/ct_images/tumor/CT00074.png,ct,normal,tumor,7,8,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00006.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00011.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00012.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00014.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00015.png,ct,normal,normal,4,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00018.png,ct,normal,normal,2,0,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00019.png,ct,normal,normal,4,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00020.png,ct,normal,normal,2,1,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00021.png,ct,normal,normal,0,1,Exact Duplicate,Keep Representative / Purge Duplicate
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00023.png,ct,normal,normal,2,6,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00024.png,ct,normal,normal,0,7,Exact Duplicate,Keep Representative / Purge Duplicate
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00025.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00031.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00033.png,ct,normal,normal,3,0,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00035.png,ct,normal,normal,0,2,Exact Duplicate,Keep Representative / Purge Duplicate
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00036.png,ct,normal,normal,7,4,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00037.png,ct,normal,normal,0,4,Exact Duplicate,Keep Representative / Purge Duplicate
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00038.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00040.png,ct,normal,normal,3,1,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00042.png,ct,normal,normal,4,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00044.png,ct,normal,normal,4,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00047.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00049.png,ct,normal,normal,3,1,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00056.png,ct,normal,normal,2,1,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00058.png,ct,normal,normal,4,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00059.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00060.png,ct,normal,normal,3,7,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00064.png,ct,normal,normal,3,1,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/normal/CT00065.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00005.png,data/raw/ct_images/tumor/CT00074.png,ct,normal,tumor,7,6,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00011.png,ct,normal,normal,2,0,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00012.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00014.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00015.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00018.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00019.png,ct,normal,normal,4,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00020.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00021.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00023.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00024.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00025.png,ct,normal,normal,0,3,Exact Duplicate,Keep Representative / Purge Duplicate
data/raw/ct_images/normal/CT00006.png,data/raw/ct_images/normal/CT00031.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
