Image_ID,Original_Path,Pixel_Image_Path,Original_Format,Output_Format,Width,Height,Color_Mode,Channels,Pixel_Array_Shape,Pixel_Min,Pixel_Max,Pixel_Mean,Pixel_Std,Original_File_Size,Output_File_Size,Conversion_Status
CT00011,data/raw/ct_images/normal/CT00011.png,data/pixel_images/ct/normal/CT00011.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,224.0,52.27,39.93,2008,2008,SUCCESS
CT00012,data/raw/ct_images/normal/CT00012.png,data/pixel_images/ct/normal/CT00012.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,227.0,53.91,39.12,2049,2049,SUCCESS
CT00013,data/raw/ct_images/normal/CT00013.png,data/pixel_images/ct/normal/CT00013.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,237.0,56.3,42.33,2077,2077,SUCCESS
CT00014,data/raw/ct_images/normal/CT00014.png,data/pixel_images/ct/normal/CT00014.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,234.0,53.87,38.22,2021,2021,SUCCESS
CT00015,data/raw/ct_images/normal/CT00015.png,data/pixel_images/ct/normal/CT00015.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,230.0,53.07,40.78,2025,2025,SUCCESS
CT00016,data/raw/ct_images/normal/CT00016.png,data/pixel_images/ct/normal/CT00016.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,221.0,52.26,40.89,2030,2030,SUCCESS
CT00017,data/raw/ct_images/normal/CT00017.png,data/pixel_images/ct/normal/CT00017.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,237.0,54.49,39.82,2039,2039,SUCCESS
CT00018,data/raw/ct_images/normal/CT00018.png,data/pixel_images/ct/normal/CT00018.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,222.0,53.02,41.85,2070,2070,SUCCESS
CT00019,data/raw/ct_images/normal/CT00019.png,data/pixel_images/ct/normal/CT00019.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,230.0,54.41,40.75,2001,2001,SUCCESS
CT00020,data/raw/ct_images/normal/CT00020.png,data/pixel_images/ct/normal/CT00020.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,226.0,53.51,41.82,2032,2032,SUCCESS
CT00021,data/raw/ct_images/normal/CT00021.png,data/pixel_images/ct/normal/CT00021.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,240.0,55.56,40.17,2045,2045,SUCCESS
CT00022,data/raw/ct_images/normal/CT00022.png,data/pixel_images/ct/normal/CT00022.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,237.0,56.56,41.43,2060,2060,SUCCESS
CT00023,data/raw/ct_images/normal/CT00023.png,data/pixel_images/ct/normal/CT00023.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,224.0,52.31,40.26,2041,2041,SUCCESS
CT00024,data/raw/ct_images/normal/CT00024.png,data/pixel_images/ct/normal/CT00024.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,223.0,56.03,39.18,2028,2028,SUCCESS
CT00025,data/raw/ct_images/normal/CT00025.png,data/pixel_images/ct/normal/CT00025.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,239.0,56.23,40.96,2022,2022,SUCCESS
CT00026,data/raw/ct_images/normal/CT00026.png,data/pixel_images/ct/normal/CT00026.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,239.0,56.35,41.14,2012,2012,SUCCESS
CT00027,data/raw/ct_images/normal/CT00027.png,data/pixel_images/ct/normal/CT00027.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,237.0,54.35,39.64,2035,2035,SUCCESS
CT00028,data/raw/ct_images/normal/CT00028.png,data/pixel_images/ct/normal/CT00028.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,231.0,54.11,40.67,1999,1999,SUCCESS
CT00029,data/raw/ct_images/normal/CT00029.png,data/pixel_images/ct/normal/CT00029.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,222.0,55.65,40.56,2033,2033,SUCCESS
CT00030,data/raw/ct_images/normal/CT00030.png,data/pixel_images/ct/normal/CT00030.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,220.0,56.15,39.33,2050,2050,SUCCESS
CT00031,data/raw/ct_images/normal/CT00031.png,data/pixel_images/ct/normal/CT00031.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,234.0,55.44,38.76,2023,2023,SUCCESS
CT00032,data/raw/ct_images/normal/CT00032.png,data/pixel_images/ct/normal/CT00032.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,235.0,52.27,40.22,2022,2022,SUCCESS
CT00033,data/raw/ct_images/normal/CT00033.png,data/pixel_images/ct/normal/CT00033.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,239.0,56.46,41.29,2016,2016,SUCCESS
CT00034,data/raw/ct_images/normal/CT00034.png,data/pixel_images/ct/normal/CT00034.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,222.0,52.91,40.37,2004,2004,SUCCESS
CT00035,data/raw/ct_images/normal/CT00035.png,data/pixel_images/ct/normal/CT00035.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,226.0,53.59,41.39,2045,2045,SUCCESS
CT00036,data/raw/ct_images/normal/CT00036.png,data/pixel_images/ct/normal/CT00036.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,237.0,53.49,40.97,1998,1998,SUCCESS
CT00037,data/raw/ct_images/normal/CT00037.png,data/pixel_images/ct/normal/CT00037.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,239.0,54.88,39.92,2032,2032,SUCCESS
CT00038,data/raw/ct_images/normal/CT00038.png,data/pixel_images/ct/normal/CT00038.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,227.0,56.78,39.81,2024,2024,SUCCESS
CT00039,data/raw/ct_images/normal/CT00039.png,data/pixel_images/ct/normal/CT00039.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,233.0,57.24,40.14,2022,2022,SUCCESS
CT00040,data/raw/ct_images/normal/CT00040.png,data/pixel_images/ct/normal/CT00040.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,234.0,56.36,40.91,2014,2014,SUCCESS
CT00041,data/raw/ct_images/normal/CT00041.png,data/pixel_images/ct/normal/CT00041.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,240.0,55.99,41.65,2032,2032,SUCCESS
CT00042,data/raw/ct_images/normal/CT00042.png,data/pixel_images/ct/normal/CT00042.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,232.0,55.83,39.67,2033,2033,SUCCESS
CT00043,data/raw/ct_images/normal/CT00043.png,data/pixel_images/ct/normal/CT00043.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,226.0,53.02,40.85,2035,2035,SUCCESS
CT00044,data/raw/ct_images/normal/CT00044.png,data/pixel_images/ct/normal/CT00044.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,224.0,55.65,40.01,1984,1984,SUCCESS
CT00045,data/raw/ct_images/normal/CT00045.png,data/pixel_images/ct/normal/CT00045.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,234.0,55.65,39.86,2018,2018,SUCCESS
CT00046,data/raw/ct_images/normal/CT00046.png,data/pixel_images/ct/normal/CT00046.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,229.0,58.07,40.93,2039,2039,SUCCESS
CT00047,data/raw/ct_images/normal/CT00047.png,data/pixel_images/ct/normal/CT00047.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,236.0,53.91,40.26,2059,2059,SUCCESS
CT00048,data/raw/ct_images/normal/CT00048.png,data/pixel_images/ct/normal/CT00048.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,236.0,57.21,39.94,2028,2028,SUCCESS
CT00049,data/raw/ct_images/normal/CT00049.png,data/pixel_images/ct/normal/CT00049.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,231.0,53.73,42.25,2022,2022,SUCCESS
CT00050,data/raw/ct_images/normal/CT00050.png,data/pixel_images/ct/normal/CT00050.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,237.0,54.94,40.54,2023,2023,SUCCESS
CT00051,data/raw/ct_images/normal/CT00051.png,data/pixel_images/ct/normal/CT00051.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,224.0,57.01,39.55,2014,2014,SUCCESS
CT00052,data/raw/ct_images/normal/CT00052.png,data/pixel_images/ct/normal/CT00052.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,235.0,55.77,41.57,2027,2027,SUCCESS
CT00053,data/raw/ct_images/normal/CT00053.png,data/pixel_images/ct/normal/CT00053.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,231.0,52.0,40.1,2012,2012,SUCCESS
CT00054,data/raw/ct_images/normal/CT00054.png,data/pixel_images/ct/normal/CT00054.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,232.0,53.39,42.18,2073,2073,SUCCESS
CT00055,data/raw/ct_images/normal/CT00055.png,data/pixel_images/ct/normal/CT00055.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,227.0,55.6,38.74,2041,2041,SUCCESS
CT00056,data/raw/ct_images/normal/CT00056.png,data/pixel_images/ct/normal/CT00056.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,240.0,54.71,41.1,2061,2061,SUCCESS
CT00057,data/raw/ct_images/normal/CT00057.png,data/pixel_images/ct/normal/CT00057.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,230.0,51.56,40.14,2007,2007,SUCCESS
CT00058,data/raw/ct_images/normal/CT00058.png,data/pixel_images/ct/normal/CT00058.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,235.0,52.67,41.35,2035,2035,SUCCESS
CT00059,data/raw/ct_images/normal/CT00059.png,data/pixel_images/ct/normal/CT00059.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,227.0,56.57,40.82,2054,2054,SUCCESS
CT00060,data/raw/ct_images/normal/CT00060.png,data/pixel_images/ct/normal/CT00060.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,224.0,56.5,39.71,2057,2057,SUCCESS
CT00061,data/raw/ct_images/normal/CT00061.png,data/pixel_images/ct/normal/CT00061.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,235.0,56.81,40.77,2042,2042,SUCCESS
CT00062,data/raw/ct_images/normal/CT00062.png,data/pixel_images/ct/normal/CT00062.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,228.0,54.38,40.47,2052,2052,SUCCESS
CT00063,data/raw/ct_images/normal/CT00063.png,data/pixel_images/ct/normal/CT00063.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,232.0,54.87,39.12,2020,2020,SUCCESS
CT00064,data/raw/ct_images/normal/CT00064.png,data/pixel_images/ct/normal/CT00064.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,239.0,56.15,42.74,2010,2010,SUCCESS
CT00065,data/raw/ct_images/normal/CT00065.png,data/pixel_images/ct/normal/CT00065.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,220.0,56.72,39.62,2045,2045,SUCCESS
CT00136,data/raw/ct_images/progression/CT00136.png,data/pixel_images/ct/progression/CT00136.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,234.0,62.94,55.25,2398,2398,SUCCESS
CT00137,data/raw/ct_images/progression/CT00137.png,data/pixel_images/ct/progression/CT00137.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,237.0,60.63,57.28,2387,2387,SUCCESS
CT00138,data/raw/ct_images/progression/CT00138.png,data/pixel_images/ct/progression/CT00138.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,221.0,64.46,55.14,2339,2339,SUCCESS
CT00139,data/raw/ct_images/progression/CT00139.png,data/pixel_images/ct/progression/CT00139.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,226.0,60.95,55.66,2405,2405,SUCCESS
CT00140,data/raw/ct_images/progression/CT00140.png,data/pixel_images/ct/progression/CT00140.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,229.0,66.74,56.31,2351,2351,SUCCESS
CT00141,data/raw/ct_images/progression/CT00141.png,data/pixel_images/ct/progression/CT00141.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,230.0,59.19,53.35,2344,2344,SUCCESS
CT00142,data/raw/ct_images/progression/CT00142.png,data/pixel_images/ct/progression/CT00142.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,228.0,63.42,57.42,2357,2357,SUCCESS
CT00143,data/raw/ct_images/progression/CT00143.png,data/pixel_images/ct/progression/CT00143.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,237.0,59.48,52.86,2326,2326,SUCCESS
CT00144,data/raw/ct_images/progression/CT00144.png,data/pixel_images/ct/progression/CT00144.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,234.0,60.65,49.79,2355,2355,SUCCESS
CT00145,data/raw/ct_images/progression/CT00145.png,data/pixel_images/ct/progression/CT00145.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,240.0,62.86,54.09,2370,2370,SUCCESS
CT00146,data/raw/ct_images/progression/CT00146.png,data/pixel_images/ct/progression/CT00146.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,230.0,64.63,54.8,2371,2371,SUCCESS
CT00147,data/raw/ct_images/progression/CT00147.png,data/pixel_images/ct/progression/CT00147.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,220.0,64.25,56.49,2355,2355,SUCCESS
CT00148,data/raw/ct_images/progression/CT00148.png,data/pixel_images/ct/progression/CT00148.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,230.0,62.31,56.37,2412,2412,SUCCESS
CT00149,data/raw/ct_images/progression/CT00149.png,data/pixel_images/ct/progression/CT00149.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,230.0,64.98,59.56,2351,2351,SUCCESS
CT00150,data/raw/ct_images/progression/CT00150.png,data/pixel_images/ct/progression/CT00150.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,236.0,61.73,51.15,2409,2409,SUCCESS
CT00151,data/raw/ct_images/progression/CT00151.png,data/pixel_images/ct/progression/CT00151.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,240.0,65.14,55.87,2327,2327,SUCCESS
CT00152,data/raw/ct_images/progression/CT00152.png,data/pixel_images/ct/progression/CT00152.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,230.0,62.08,54.3,2347,2347,SUCCESS
CT00153,data/raw/ct_images/progression/CT00153.png,data/pixel_images/ct/progression/CT00153.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,236.0,59.05,52.61,2358,2358,SUCCESS
CT00154,data/raw/ct_images/progression/CT00154.png,data/pixel_images/ct/progression/CT00154.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,226.0,64.58,56.52,2438,2438,SUCCESS
CT00155,data/raw/ct_images/progression/CT00155.png,data/pixel_images/ct/progression/CT00155.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,240.0,64.37,55.13,2370,2370,SUCCESS
CT00156,data/raw/ct_images/progression/CT00156.png,data/pixel_images/ct/progression/CT00156.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,236.0,64.95,59.05,2399,2399,SUCCESS
CT00157,data/raw/ct_images/progression/CT00157.png,data/pixel_images/ct/progression/CT00157.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,224.0,64.67,53.5,2409,2409,SUCCESS
CT00158,data/raw/ct_images/progression/CT00158.png,data/pixel_images/ct/progression/CT00158.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,223.0,61.6,49.89,2369,2369,SUCCESS
CT00159,data/raw/ct_images/progression/CT00159.png,data/pixel_images/ct/progression/CT00159.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,221.0,61.26,52.43,2345,2345,SUCCESS
CT00160,data/raw/ct_images/progression/CT00160.png,data/pixel_images/ct/progression/CT00160.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,232.0,64.33,53.32,2382,2382,SUCCESS
CT00161,data/raw/ct_images/progression/CT00161.png,data/pixel_images/ct/progression/CT00161.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,229.0,65.98,54.34,2430,2430,SUCCESS
CT00162,data/raw/ct_images/progression/CT00162.png,data/pixel_images/ct/progression/CT00162.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,235.0,65.81,55.48,2318,2318,SUCCESS
CT00163,data/raw/ct_images/progression/CT00163.png,data/pixel_images/ct/progression/CT00163.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,226.0,64.35,55.33,2351,2351,SUCCESS
CT00164,data/raw/ct_images/progression/CT00164.png,data/pixel_images/ct/progression/CT00164.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,223.0,61.17,53.41,2349,2349,SUCCESS
CT00165,data/raw/ct_images/progression/CT00165.png,data/pixel_images/ct/progression/CT00165.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,228.0,61.01,52.6,2355,2355,SUCCESS
CT00166,data/raw/ct_images/progression/CT00166.png,data/pixel_images/ct/progression/CT00166.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,228.0,63.29,54.69,2382,2382,SUCCESS
CT00167,data/raw/ct_images/progression/CT00167.png,data/pixel_images/ct/progression/CT00167.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,232.0,62.6,59.05,2386,2386,SUCCESS
CT00168,data/raw/ct_images/progression/CT00168.png,data/pixel_images/ct/progression/CT00168.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,238.0,62.14,54.19,2373,2373,SUCCESS
CT00169,data/raw/ct_images/progression/CT00169.png,data/pixel_images/ct/progression/CT00169.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,220.0,61.89,56.97,2393,2393,SUCCESS
CT00170,data/raw/ct_images/progression/CT00170.png,data/pixel_images/ct/progression/CT00170.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,233.0,62.58,54.92,2329,2329,SUCCESS
CT00171,data/raw/ct_images/progression/CT00171.png,data/pixel_images/ct/progression/CT00171.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,234.0,63.22,53.88,2338,2338,SUCCESS
CT00172,data/raw/ct_images/progression/CT00172.png,data/pixel_images/ct/progression/CT00172.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,229.0,58.86,52.57,2338,2338,SUCCESS
CT00173,data/raw/ct_images/progression/CT00173.png,data/pixel_images/ct/progression/CT00173.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,232.0,61.31,52.72,2380,2380,SUCCESS
CT00174,data/raw/ct_images/progression/CT00174.png,data/pixel_images/ct/progression/CT00174.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,234.0,63.02,54.23,2398,2398,SUCCESS
CT00175,data/raw/ct_images/progression/CT00175.png,data/pixel_images/ct/progression/CT00175.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,235.0,66.04,57.01,2324,2324,SUCCESS
CT00176,data/raw/ct_images/progression/CT00176.png,data/pixel_images/ct/progression/CT00176.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,227.0,61.52,53.44,2299,2299,SUCCESS
CT00177,data/raw/ct_images/progression/CT00177.png,data/pixel_images/ct/progression/CT00177.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,222.0,61.24,49.56,2341,2341,SUCCESS
CT00178,data/raw/ct_images/progression/CT00178.png,data/pixel_images/ct/progression/CT00178.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,221.0,63.34,56.25,2372,2372,SUCCESS
CT00179,data/raw/ct_images/progression/CT00179.png,data/pixel_images/ct/progression/CT00179.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,231.0,60.17,54.24,2388,2388,SUCCESS
CT00180,data/raw/ct_images/progression/CT00180.png,data/pixel_images/ct/progression/CT00180.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,221.0,61.72,55.67,2354,2354,SUCCESS
CT00181,data/raw/ct_images/progression/CT00181.png,data/pixel_images/ct/progression/CT00181.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,227.0,60.74,54.23,2442,2442,SUCCESS
CT00182,data/raw/ct_images/progression/CT00182.png,data/pixel_images/ct/progression/CT00182.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,223.0,64.25,53.86,2391,2391,SUCCESS
CT00183,data/raw/ct_images/progression/CT00183.png,data/pixel_images/ct/progression/CT00183.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,221.0,63.3,53.74,2396,2396,SUCCESS
CT00184,data/raw/ct_images/progression/CT00184.png,data/pixel_images/ct/progression/CT00184.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,234.0,60.45,53.35,2349,2349,SUCCESS
CT00185,data/raw/ct_images/progression/CT00185.png,data/pixel_images/ct/progression/CT00185.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,234.0,64.24,55.14,2367,2367,SUCCESS
CT00186,data/raw/ct_images/progression/CT00186.png,data/pixel_images/ct/progression/CT00186.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,234.0,60.57,49.0,2381,2381,SUCCESS
CT00187,data/raw/ct_images/progression/CT00187.png,data/pixel_images/ct/progression/CT00187.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,226.0,60.78,51.67,2379,2379,SUCCESS
CT00188,data/raw/ct_images/progression/CT00188.png,data/pixel_images/ct/progression/CT00188.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,230.0,62.36,59.13,2404,2404,SUCCESS
CT00189,data/raw/ct_images/progression/CT00189.png,data/pixel_images/ct/progression/CT00189.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,230.0,65.3,59.29,2437,2437,SUCCESS
CT00190,data/raw/ct_images/progression/CT00190.png,data/pixel_images/ct/progression/CT00190.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,220.0,61.98,54.42,2407,2407,SUCCESS
CT00191,data/raw/ct_images/progression/CT00191.png,data/pixel_images/ct/progression/CT00191.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,222.0,61.31,52.31,2374,2374,SUCCESS
CT00192,data/raw/ct_images/progression/CT00192.png,data/pixel_images/ct/progression/CT00192.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,226.0,63.67,58.06,2366,2366,SUCCESS
CT00193,data/raw/ct_images/progression/CT00193.png,data/pixel_images/ct/progression/CT00193.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,233.0,63.57,56.19,2392,2392,SUCCESS
CT00194,data/raw/ct_images/progression/CT00194.png,data/pixel_images/ct/progression/CT00194.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,223.0,60.96,49.54,2339,2339,SUCCESS
CT00195,data/raw/ct_images/progression/CT00195.png,data/pixel_images/ct/progression/CT00195.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,225.0,63.91,55.14,2351,2351,SUCCESS
CT00196,data/raw/ct_images/progression/CT00196.png,data/pixel_images/ct/progression/CT00196.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,237.0,59.92,49.39,2358,2358,SUCCESS
CT00197,data/raw/ct_images/progression/CT00197.png,data/pixel_images/ct/progression/CT00197.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,227.0,59.81,55.2,2358,2358,SUCCESS
CT00198,data/raw/ct_images/progression/CT00198.png,data/pixel_images/ct/progression/CT00198.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,225.0,64.67,55.26,2380,2380,SUCCESS
CT00199,data/raw/ct_images/progression/CT00199.png,data/pixel_images/ct/progression/CT00199.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,229.0,63.19,53.87,2401,2401,SUCCESS
CT00200,data/raw/ct_images/progression/CT00200.png,data/pixel_images/ct/progression/CT00200.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,231.0,62.1,54.43,2359,2359,SUCCESS
CT00066,data/raw/ct_images/tumor/CT00066.png,data/pixel_images/ct/tumor/CT00066.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,226.0,57.87,44.88,2157,2157,SUCCESS
CT00067,data/raw/ct_images/tumor/CT00067.png,data/pixel_images/ct/tumor/CT00067.png,PNG,PNG,256,256,L,1,"(256, 256)",12.0,221.0,54.98,45.61,2178,2178,SUCCESS
CT00068,data/raw/ct_images/tumor/CT00068.png,data/pixel_images/ct/tumor/CT00068.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,226.0,57.99,45.34,2161,2161,SUCCESS
CT00069,data/raw/ct_images/tumor/CT00069.png,data/pixel_images/ct/tumor/CT00069.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,240.0,58.22,47.77,2192,2192,SUCCESS
CT00070,data/raw/ct_images/tumor/CT00070.png,data/pixel_images/ct/tumor/CT00070.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,236.0,57.82,46.03,2157,2157,SUCCESS
CT00071,data/raw/ct_images/tumor/CT00071.png,data/pixel_images/ct/tumor/CT00071.png,PNG,PNG,256,256,L,1,"(256, 256)",13.0,229.0,56.45,46.44,2163,2163,SUCCESS
CT00072,data/raw/ct_images/tumor/CT00072.png,data/pixel_images/ct/tumor/CT00072.png,PNG,PNG,256,256,L,1,"(256, 256)",17.0,236.0,58.36,44.87,2195,2195,SUCCESS
CT00073,data/raw/ct_images/tumor/CT00073.png,data/pixel_images/ct/tumor/CT00073.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,223.0,57.24,46.87,2189,2189,SUCCESS
