Deployment_ID,Version,Commit_SHA,Service_Name,Target_Environment,Deployer,Error_Rate_Delta,Latency_P95_ms,Latency_P99_ms,Unit_Test_Failure_Rate,Integration_Test_Passed,Security_Critical_CVEs,Security_High_CVEs,Anomalous_Egress_MB,Auth_Failure_Spike,Changed_Files_Count,Lines_Delta,Production_Incident,Risk_Score,Decision
DEP-10034,v2.0.15,4f90524,order-processing,production-us-east,ci-bot-auto,0.127,71.2,116.1,0.0,1,0,1,40.2,0.8,12,218,0,18,ALLOW
DEP-10035,v1.15.20,98ac316,search-indexer,staging-preprod,marcus.vance,0.0,51.7,76.9,0.0,1,0,0,24.4,1.7,6,227,0,9,ALLOW
DEP-10036,v3.10.11,82321d0,order-processing,canary-prod,david.kim,0.072,77.4,112.60000000000001,0.0,1,0,0,36.6,0.8,4,388,0,8,ALLOW
DEP-10037,v3.9.3,0315f3a,search-indexer,staging-preprod,marcus.vance,0.268,74.4,99.10000000000001,0.22,1,0,0,16.4,1.9,11,395,0,14,ALLOW
DEP-10038,v1.9.15,984fb29,auth-gateway,canary-prod,elena.rostova,0.032,75.7,116.4,0.0,1,0,0,24.4,0.0,3,86,0,9,ALLOW
DEP-10039,v2.2.7,d716883,analytics-pipeline,production-eu-central,marcus.vance,0.0,58.3,103.6,0.48,1,0,1,26.7,0.0,13,116,0,18,ALLOW
DEP-10040,v2.2.5,1fcfa78,search-indexer,production-eu-central,marcus.vance,0.064,70.8,95.19999999999999,0.0,1,0,0,26.2,1.3,14,242,0,7,ALLOW
DEP-10041,v1.8.25,07d1e2e,auth-gateway,canary-prod,sarah.jenkins,1.616,206.3,329.0,2.61,1,0,2,65.2,8.8,38,554,0,78,BLOCK
DEP-10042,v2.8.16,98cb742,auth-gateway,canary-prod,sarah.jenkins,8.166,741.8,1288.6,23.18,0,1,7,405.7,60.1,64,6220,1,100,BLOCK
DEP-10043,v1.15.16,82f79c9,order-processing,production-eu-central,marcus.vance,0.0,73.6,122.19999999999999,0.16,1,0,0,32.6,2.2,8,157,0,10,ALLOW
DEP-10044,v2.1.14,c424d6a,search-indexer,production-eu-central,elena.rostova,0.025,76.4,102.10000000000001,0.0,1,0,0,23.1,0.5,8,330,0,8,ALLOW
DEP-10045,v1.6.8,e389da1,search-indexer,staging-preprod,marcus.vance,0.057,99.7,112.3,0.0,1,0,1,30.5,0.0,14,68,0,19,ALLOW
DEP-10046,v1.4.15,3279918,notification-worker,staging-preprod,elena.rostova,0.012,81.3,117.1,0.0,1,0,0,16.4,0.1,3,45,0,6,ALLOW
DEP-10047,v2.10.29,2a339e8,notification-worker,production-eu-central,marcus.vance,0.104,54.0,91.6,0.0,1,0,0,25.4,0.2,15,174,0,11,ALLOW
DEP-10048,v3.7.18,617b496,user-profile,staging-preprod,elena.rostova,6.284,643.3,1133.6999999999998,24.49,1,3,2,408.2,47.6,86,2316,1,100,BLOCK
DEP-10049,v2.0.23,e7ec924,notification-worker,production-eu-central,david.kim,0.0,77.8,103.3,0.0,1,0,0,24.1,2.0,9,204,0,11,ALLOW
DEP-10050,v3.15.27,bc131c7,auth-gateway,canary-prod,elena.rostova,0.119,47.0,78.0,0.0,1,0,1,21.2,0.2,6,417,0,12,ALLOW
DEP-10051,v2.11.13,e17fffc,notification-worker,production-eu-central,ci-bot-auto,0.191,71.1,91.0,0.0,1,0,0,32.3,4.4,4,246,0,12,ALLOW
DEP-10052,v2.8.21,a83fc85,notification-worker,production-us-east,david.kim,5.437,421.2,763.5999999999999,19.91,0,4,4,157.2,33.1,55,4651,1,100,BLOCK
DEP-10053,v1.7.12,533a62a,notification-worker,canary-prod,ci-bot-auto,0.369,115.3,252.3,2.61,1,0,1,73.2,6.3,32,748,0,45,ALLOW
DEP-10054,v3.4.20,db38b5e,auth-gateway,production-us-east,marcus.vance,1.037,171.6,247.2,1.8,0,1,3,67.9,13.0,33,1387,0,100,BLOCK
DEP-10055,v1.8.29,934d8ce,analytics-pipeline,staging-preprod,priya.sharma,0.133,58.4,95.0,0.0,1,0,0,36.5,0.0,14,421,0,9,ALLOW
DEP-10056,v1.12.0,2d85265,auth-gateway,staging-preprod,elena.rostova,0.143,65.2,88.4,0.0,1,0,0,28.7,1.5,15,322,0,9,ALLOW
DEP-10057,v1.14.29,37debb3,user-profile,canary-prod,alex.chen,0.002,66.0,96.4,0.0,1,0,0,25.9,2.2,6,353,0,10,ALLOW
DEP-10058,v3.13.18,e7d972b,search-indexer,production-us-east,sarah.jenkins,0.177,46.4,107.0,0.0,1,0,0,9.4,1.0,2,361,0,6,ALLOW
DEP-10059,v3.11.1,620d8c0,search-indexer,canary-prod,alex.chen,1.742,227.7,305.29999999999995,0.71,0,1,3,47.1,5.2,23,440,1,100,BLOCK
DEP-10060,v3.6.26,14ea2ee,notification-worker,production-us-east,priya.sharma,0.097,69.2,96.7,0.0,1,0,1,23.3,0.5,1,193,0,17,ALLOW
DEP-10061,v1.10.0,f2be7dc,user-profile,production-eu-central,priya.sharma,0.003,77.7,117.0,0.0,1,0,0,19.5,2.5,4,324,0,5,ALLOW
DEP-10062,v3.9.14,ab967d9,search-indexer,production-eu-central,alex.chen,7.645,738.0,1050.8,7.73,0,2,2,525.3,81.5,46,3752,1,100,BLOCK
DEP-10063,v3.10.12,387dd07,user-profile,staging-preprod,elena.rostova,0.075,64.7,101.1,0.0,1,0,0,35.2,0.3,2,170,0,6,ALLOW
DEP-10064,v3.8.11,e9cccc7,auth-gateway,production-us-east,priya.sharma,0.094,62.0,94.4,0.48,1,0,0,33.8,2.4,11,72,0,11,ALLOW
DEP-10065,v3.13.27,b335d0e,search-indexer,production-eu-central,sarah.jenkins,0.455,227.3,332.8,2.98,1,0,1,62.4,16.6,27,1475,0,60,PAUSE
DEP-10066,v3.0.19,2af2345,auth-gateway,staging-preprod,priya.sharma,0.115,69.9,103.30000000000001,0.0,1,0,1,25.8,2.1,12,334,0,21,ALLOW
DEP-10067,v1.6.12,784f534,analytics-pipeline,canary-prod,alex.chen,0.0,96.4,119.30000000000001,0.0,1,0,1,15.3,2.9,2,149,0,17,ALLOW
DEP-10068,v2.15.19,8720d57,auth-gateway,production-us-east,david.kim,0.113,74.4,116.9,0.0,1,0,0,24.9,0.0,1,122,0,7,ALLOW
DEP-10069,v3.1.0,030e234,auth-gateway,canary-prod,elena.rostova,0.386,181.4,281.1,3.16,0,0,3,64.6,6.5,24,1324,0,89,BLOCK
DEP-10070,v2.2.12,b7a8c47,notification-worker,production-eu-central,david.kim,0.083,56.5,81.6,0.0,1,0,0,26.9,1.6,6,97,0,9,ALLOW
DEP-10071,v3.14.26,5c7d176,notification-worker,canary-prod,elena.rostova,0.409,216.8,340.4,0.74,1,0,1,45.9,17.8,14,1345,0,45,ALLOW
DEP-10072,v1.11.11,e1de20f,notification-worker,staging-preprod,priya.sharma,0.861,158.2,291.4,3.34,0,0,3,109.0,14.8,41,1250,1,100,BLOCK
DEP-10073,v2.10.27,4e8c983,analytics-pipeline,production-us-east,ci-bot-auto,0.009,54.2,86.6,0.0,1,0,0,27.5,3.4,8,29,0,5,ALLOW
DEP-10074,v2.2.20,c68b804,notification-worker,production-eu-central,ci-bot-auto,0.119,62.6,97.4,0.14,1,0,0,17.0,1.2,6,375,0,7,ALLOW
DEP-10075,v3.5.1,188f553,user-profile,production-eu-central,priya.sharma,0.027,69.8,94.9,0.0,1,0,0,29.2,3.5,11,181,0,7,ALLOW
DEP-10076,v1.12.9,2e4ce53,search-indexer,production-eu-central,sarah.jenkins,0.041,71.0,114.3,0.0,1,0,0,21.8,1.5,7,339,0,10,ALLOW
DEP-10077,v1.2.20,75a53f0,order-processing,production-eu-central,sarah.jenkins,0.051,66.5,92.2,0.13,1,0,0,25.2,1.9,2,269,0,10,ALLOW
DEP-10078,v3.1.21,4e6efff,search-indexer,production-eu-central,alex.chen,0.166,79.4,140.2,0.0,1,0,0,18.9,2.5,8,322,0,10,ALLOW
DEP-10079,v3.14.7,1390588,analytics-pipeline,production-us-east,priya.sharma,0.065,97.8,123.1,0.0,1,0,0,18.3,0.3,14,112,0,13,ALLOW
DEP-10080,v1.8.1,95dd3cf,order-processing,production-eu-central,ci-bot-auto,0.0,57.1,83.0,0.0,1,0,0,26.2,1.7,4,428,0,6,ALLOW
DEP-10081,v2.0.13,b6516c5,payment-service,canary-prod,marcus.vance,4.667,743.9,1217.8,7.41,0,3,3,605.5,82.6,47,1813,1,100,BLOCK
DEP-10082,v2.4.24,98aca20,analytics-pipeline,staging-preprod,ci-bot-auto,9.149,693.7,1139.1,12.78,0,4,2,616.4,85.6,66,3446,1,100,BLOCK
DEP-10083,v1.7.13,8cd9a1e,order-processing,production-eu-central,alex.chen,0.2,82.7,112.1,0.0,1,0,0,11.3,3.2,11,352,0,10,ALLOW
DEP-10084,v2.2.30,a69b652,search-indexer,canary-prod,marcus.vance,1.755,219.5,354.9,1.91,1,0,3,69.0,8.6,16,1491,1,82,BLOCK
DEP-10085,v1.11.17,4f89fec,search-indexer,production-eu-central,alex.chen,0.05,65.7,95.30000000000001,0.18,1,0,1,30.0,0.0,15,168,0,18,ALLOW
DEP-10086,v3.15.8,b035b42,auth-gateway,production-us-east,elena.rostova,9.178,625.5,917.0,18.11,0,4,4,459.1,50.1,53,5564,1,100,BLOCK
DEP-10087,v2.8.25,c7c7f34,auth-gateway,canary-prod,marcus.vance,0.039,70.0,96.0,0.0,1,0,0,37.4,1.4,7,95,0,9,ALLOW
DEP-10088,v2.14.1,572bc65,notification-worker,staging-preprod,alex.chen,0.144,66.0,125.7,0.0,1,0,0,39.0,0.8,1,74,0,5,ALLOW
DEP-10089,v3.11.11,6be8558,analytics-pipeline,canary-prod,ci-bot-auto,0.128,74.7,126.1,0.0,1,0,0,17.3,2.2,5,137,0,12,ALLOW
DEP-10090,v1.5.15,6d22803,search-indexer,production-eu-central,sarah.jenkins,0.135,38.6,59.400000000000006,0.0,1,0,0,8.7,0.8,15,375,0,7,ALLOW
DEP-10091,v1.10.21,5c33ff5,notification-worker,staging-preprod,alex.chen,6.098,726.7,1085.3000000000002,17.06,0,2,5,581.2,91.5,33,4456,1,100,BLOCK
DEP-10092,v2.14.25,ecc3697,analytics-pipeline,production-eu-central,priya.sharma,0.107,39.4,73.69999999999999,0.23,1,0,1,28.1,1.2,8,358,0,16,ALLOW
DEP-10093,v1.5.24,e7bde3f,payment-service,production-us-east,david.kim,0.0,63.7,83.0,0.0,1,0,0,30.4,1.7,5,443,0,4,ALLOW
DEP-10094,v1.8.4,3cfef4b,analytics-pipeline,canary-prod,alex.chen,0.0,57.3,79.6,0.0,1,0,0,24.5,2.6,11,117,0,9,ALLOW
DEP-10095,v2.0.15,3391638,auth-gateway,canary-prod,sarah.jenkins,0.0,72.6,101.19999999999999,0.0,1,0,0,18.7,1.0,10,83,0,7,ALLOW
DEP-10096,v3.10.23,56e5d41,user-profile,canary-prod,marcus.vance,0.0,56.7,77.30000000000001,0.12,1,0,0,40.7,1.3,14,325,0,8,ALLOW
DEP-10097,v1.10.29,40f9893,user-profile,canary-prod,alex.chen,2.775,735.7,1186.9,5.72,0,2,3,586.8,89.5,104,4390,1,100,BLOCK
DEP-10098,v2.15.19,93ad7e2,search-indexer,production-us-east,priya.sharma,0.041,61.7,104.1,0.12,1,0,0,31.1,0.4,6,293,0,6,ALLOW
DEP-10099,v2.14.24,2ded654,notification-worker,production-us-east,priya.sharma,0.004,60.9,70.9,0.0,1,0,0,12.9,3.3,1,33,0,4,ALLOW
DEP-10100,v3.10.25,98ee44f,user-profile,production-us-east,ci-bot-auto,0.182,61.3,103.19999999999999,0.0,1,0,0,27.5,5.8,12,298,0,11,ALLOW
DEP-10101,v1.11.10,d73a921,search-indexer,canary-prod,ci-bot-auto,0.14,63.1,86.6,0.0,1,0,0,12.1,1.5,13,440,0,9,ALLOW
DEP-10102,v3.7.1,d0a847e,user-profile,staging-preprod,elena.rostova,0.0,43.7,70.9,0.0,1,0,0,16.3,3.7,14,386,0,9,ALLOW
DEP-10103,v3.4.16,04964f8,notification-worker,production-us-east,ci-bot-auto,0.121,64.9,117.7,0.0,1,0,0,25.6,0.0,11,421,0,10,ALLOW
DEP-10104,v3.15.6,1231330,search-indexer,production-eu-central,marcus.vance,0.172,73.1,95.69999999999999,0.0,1,0,0,23.5,0.0,12,150,0,9,ALLOW
DEP-10105,v3.12.28,65e3b3c,order-processing,production-eu-central,david.kim,0.0,78.9,136.8,0.0,1,0,0,13.8,2.0,9,148,0,11,ALLOW
DEP-10106,v3.8.4,d11b11b,auth-gateway,production-eu-central,marcus.vance,0.453,129.9,212.0,0.98,0,0,1,53.1,8.7,45,623,0,63,PAUSE
DEP-10107,v2.15.20,0343bc1,notification-worker,canary-prod,sarah.jenkins,0.054,52.5,90.7,0.0,1,0,0,24.6,0.8,1,438,0,5,ALLOW
DEP-10108,v2.5.29,3ba3d43,user-profile,production-eu-central,sarah.jenkins,1.754,222.5,356.0,1.27,1,1,1,52.0,13.7,31,632,1,94,BLOCK
DEP-10109,v3.5.0,430f674,auth-gateway,production-eu-central,david.kim,0.0,66.5,110.5,0.0,1,0,0,11.6,2.0,15,137,0,6,ALLOW
DEP-10110,v2.7.14,243a251,auth-gateway,canary-prod,elena.rostova,0.0,73.6,99.39999999999999,0.0,1,0,0,10.6,0.0,15,370,0,10,ALLOW
DEP-10111,v3.3.20,3511e9e,user-profile,production-us-east,elena.rostova,0.472,189.4,275.4,2.24,1,0,3,50.8,11.3,23,806,0,67,PAUSE
DEP-10112,v1.14.16,5cdb0ef,order-processing,production-eu-central,alex.chen,0.054,55.2,90.80000000000001,0.0,1,0,0,18.1,0.6,15,271,0,8,ALLOW
DEP-10113,v1.14.4,78b83a6,order-processing,canary-prod,david.kim,0.131,56.3,101.3,0.27,1,0,0,16.0,2.0,9,40,0,13,ALLOW
DEP-10114,v1.15.1,37fe756,user-profile,production-eu-central,elena.rostova,0.165,27.9,53.3,0.0,1,0,0,29.6,0.9,3,344,0,8,ALLOW
DEP-10115,v1.5.17,6e1aa38,search-indexer,production-eu-central,ci-bot-auto,0.08,55.9,91.9,0.0,1,0,0,23.8,3.0,3,151,0,6,ALLOW
DEP-10116,v3.3.1,7a10cdb,user-profile,canary-prod,sarah.jenkins,0.51,213.4,291.5,0.99,1,0,1,51.5,15.6,13,586,0,45,ALLOW
DEP-10117,v3.10.18,413e173,order-processing,canary-prod,ci-bot-auto,7.156,578.1,921.6,22.42,0,2,7,346.2,82.2,116,4999,1,100,BLOCK
DEP-10118,v1.11.30,6477e36,payment-service,production-eu-central,sarah.jenkins,0.959,159.0,260.6,1.4,1,0,2,92.3,11.5,13,1451,0,56,PAUSE
DEP-10119,v3.4.12,1204c85,auth-gateway,staging-preprod,alex.chen,0.07,69.9,102.30000000000001,0.0,1,0,0,31.6,0.0,14,47,0,7,ALLOW
DEP-10120,v3.6.15,043a00d,search-indexer,production-eu-central,sarah.jenkins,0.069,76.6,93.89999999999999,0.0,1,0,0,34.2,1.7,4,292,0,8,ALLOW
DEP-10121,v2.12.14,532598d,analytics-pipeline,production-eu-central,priya.sharma,1.23,179.3,319.8,2.87,1,0,2,50.6,9.1,12,1452,1,71,PAUSE
DEP-10122,v1.8.17,73e0416,notification-worker,staging-preprod,elena.rostova,0.017,77.5,102.2,0.0,1,0,0,25.6,0.5,13,430,0,9,ALLOW
DEP-10123,v3.15.14,f5fe9fb,notification-worker,canary-prod,priya.sharma,1.444,224.0,314.8,2.96,1,0,1,47.7,16.0,36,581,1,73,PAUSE
DEP-10124,v3.4.0,085b99a,auth-gateway,production-eu-central,alex.chen,0.028,50.3,80.0,0.0,1,0,0,28.0,2.3,5,18,0,6,ALLOW
DEP-10125,v3.13.25,fdde102,analytics-pipeline,production-us-east,marcus.vance,1.38,193.3,315.8,2.13,0,0,2,57.6,9.5,25,1727,0,92,BLOCK
DEP-10126,v1.1.2,6669baf,auth-gateway,production-eu-central,priya.sharma,0.0,38.3,91.3,0.0,1,0,0,30.2,1.1,14,58,0,8,ALLOW
DEP-10127,v1.7.6,92bc2bf,analytics-pipeline,production-us-east,alex.chen,3.573,614.2,1016.6,16.84,0,4,2,159.1,86.0,68,2830,1,100,BLOCK
DEP-10128,v3.12.21,46ec5bd,user-profile,staging-preprod,priya.sharma,0.059,75.9,116.7,0.0,1,0,0,26.8,0.0,10,213,0,11,ALLOW
DEP-10129,v2.0.20,2891567,payment-service,production-eu-central,alex.chen,1.164,188.9,287.1,2.71,1,0,1,105.4,17.0,15,848,0,65,PAUSE
DEP-10130,v3.4.23,645dca3,user-profile,production-us-east,priya.sharma,0.088,50.2,83.7,0.17,1,0,0,25.4,2.8,9,272,0,8,ALLOW
DEP-10131,v1.2.11,c46a376,analytics-pipeline,canary-prod,david.kim,6.639,507.4,729.3,11.04,0,2,6,551.4,25.3,96,2889,1,100,BLOCK
DEP-10132,v1.4.8,329ecf7,order-processing,production-eu-central,marcus.vance,0.0,40.2,85.1,0.2,1,0,0,25.6,0.0,11,263,0,7,ALLOW
DEP-10133,v1.14.3,e3a6464,user-profile,production-us-east,elena.rostova,1.406,168.8,249.0,1.86,1,0,1,49.9,7.3,29,956,0,60,PAUSE
DEP-10134,v2.10.5,6439146,order-processing,production-eu-central,marcus.vance,0.0,24.5,58.8,0.0,1,0,0,23.2,2.2,9,102,0,5,ALLOW
DEP-10135,v3.0.30,8083c79,payment-service,production-us-east,sarah.jenkins,0.198,81.9,113.7,0.0,1,0,0,16.1,5.1,7,47,0,12,ALLOW
DEP-10136,v3.15.18,67b5cd1,search-indexer,production-us-east,sarah.jenkins,0.055,65.2,99.9,0.49,1,0,0,26.6,1.0,7,395,0,9,ALLOW
DEP-10137,v2.3.0,d211856,user-profile,staging-preprod,marcus.vance,3.936,388.7,603.3,13.91,0,3,5,432.4,29.6,40,2450,1,100,BLOCK
DEP-10138,v3.4.11,3480959,auth-gateway,production-eu-central,david.kim,0.03,87.6,97.6,0.0,1,0,0,33.7,3.1,13,373,0,9,ALLOW
DEP-10139,v2.3.21,f1ff478,payment-service,production-eu-central,david.kim,0.0,59.9,90.4,0.0,1,0,0,13.7,0.0,1,387,0,6,ALLOW
DEP-10140,v1.14.18,76a002c,notification-worker,canary-prod,priya.sharma,1.266,163.1,225.39999999999998,0.97,0,0,2,90.1,13.6,17,837,0,81,BLOCK
DEP-10141,v3.10.19,66d558f,analytics-pipeline,production-us-east,ci-bot-auto,0.108,48.1,76.8,0.0,1,0,0,28.9,0.0,4,166,0,4,ALLOW
DEP-10142,v2.4.16,67e67f9,search-indexer,staging-preprod,ci-bot-auto,0.107,61.4,91.9,0.0,1,0,0,30.7,1.9,14,240,0,10,ALLOW
DEP-10143,v2.0.15,e069797,search-indexer,production-eu-central,elena.rostova,0.021,82.4,104.4,0.0,1,0,0,29.9,2.1,4,159,0,6,ALLOW
DEP-10144,v1.9.5,89dd25b,analytics-pipeline,production-eu-central,ci-bot-auto,0.025,69.9,89.9,0.0,1,0,0,32.4,0.9,11,394,0,7,ALLOW
DEP-10145,v1.14.8,5c8d105,analytics-pipeline,production-eu-central,sarah.jenkins,0.008,80.7,107.2,0.0,1,0,0,13.7,0.0,13,40,0,9,ALLOW
DEP-10146,v3.8.19,f4332de,analytics-pipeline,production-eu-central,alex.chen,6.869,513.4,934.2,13.16,0,2,7,297.2,91.4,46,3545,1,100,BLOCK
DEP-10147,v2.7.24,69e2768,auth-gateway,canary-prod,elena.rostova,0.098,56.8,96.6,0.0,1,0,0,24.7,2.9,6,242,0,11,ALLOW
DEP-10148,v2.0.27,c85c607,analytics-pipeline,staging-preprod,elena.rostova,0.059,67.3,97.9,0.0,1,0,0,24.5,1.7,10,76,0,9,ALLOW
DEP-10149,v2.10.28,bbd8adf,user-profile,production-eu-central,alex.chen,6.934,427.0,682.7,21.53,0,2,7,642.2,61.8,68,2802,1,100,BLOCK
DEP-10150,v2.2.20,52c5fb6,search-indexer,production-us-east,david.kim,0.0,56.9,82.6,0.0,1,0,0,26.6,0.0,12,58,0,4,ALLOW
DEP-10151,v2.2.4,18aa4d7,search-indexer,staging-preprod,elena.rostova,0.083,39.5,86.8,0.0,1,0,0,28.8,1.6,2,62,0,4,ALLOW
DEP-10152,v2.4.12,eecaf85,search-indexer,staging-preprod,david.kim,1.201,196.5,272.3,3.24,1,0,2,69.3,10.0,23,477,1,72,PAUSE
DEP-10153,v1.12.11,74e12c1,notification-worker,production-us-east,priya.sharma,6.132,306.8,573.3,19.5,1,3,3,191.4,67.2,96,6471,1,100,BLOCK
DEP-10154,v3.12.9,b196d19,search-indexer,canary-prod,ci-bot-auto,4.217,501.9,817.4,11.47,1,3,4,509.5,45.8,46,4668,1,100,BLOCK
DEP-10155,v3.13.11,f9caca2,payment-service,canary-prod,alex.chen,6.465,551.3,1016.8,23.67,0,3,7,516.3,40.0,94,7784,1,100,BLOCK
DEP-10156,v3.12.2,e2c3c0e,notification-worker,production-us-east,elena.rostova,0.129,56.4,92.9,0.0,1,0,0,45.5,1.1,11,43,0,7,ALLOW
DEP-10157,v2.7.1,1c7d8b3,search-indexer,staging-preprod,alex.chen,0.142,54.5,89.1,0.1,1,0,0,39.2,0.3,6,277,0,8,ALLOW
DEP-10158,v3.8.5,5e2da47,order-processing,canary-prod,marcus.vance,0.67,216.5,348.4,2.58,1,1,2,59.1,12.7,42,1037,0,96,BLOCK
DEP-10159,v1.11.5,2dd1aba,payment-service,canary-prod,elena.rostova,0.195,54.1,86.1,0.0,1,0,0,24.4,2.1,14,28,0,10,ALLOW
DEP-10160,v3.13.7,41742c5,auth-gateway,canary-prod,sarah.jenkins,0.064,45.0,84.6,0.0,1,0,1,29.9,2.0,7,45,0,17,ALLOW
