Original_Dataset,Original_Column,Standardized_Column,Reason
data/processed/dl_cleaned.csv,CT_Scan_Path,CT_Scan_Path,Exact Schema Match
data/processed/dl_cleaned.csv,CT_Slice_Count,CT_Slice_Count,Exact Schema Match
data/processed/dl_cleaned.csv,MRI_Scan_ID,MRI_Scan_ID,Exact Schema Match
data/processed/dl_cleaned.csv,MRI_Scan_Path,MRI_Scan_Path,Exact Schema Match
data/processed/dl_cleaned.csv,MRI_Sequence_Type,MRI_Sequence_Type,Exact Schema Match
data/processed/dl_cleaned.csv,Tumor_Volume_cm3,Tumor_Volume_cm3,Exact Schema Match
data/processed/dl_cleaned.csv,Biomarker_Timepoint_Days,Biomarker_Timepoint_Days,Exact Schema Match
data/processed/dl_cleaned.csv,ctDNA_Level,ctDNA_Level,Exact Schema Match
data/processed/dl_cleaned.csv,Protein_Marker,Protein_Marker,Exact Schema Match
data/processed/dl_cleaned.csv,Protein_Marker_Level,Protein_Marker_Level,Exact Schema Match
data/processed/dl_cleaned.csv,Tumor_Growth_Rate,Tumor_Growth_Rate,Exact Schema Match
data/processed/dl_cleaned.csv,Treatment_Drug,Treatment_Drug,Exact Schema Match
data/processed/dl_cleaned.csv,Treatment_Response,Treatment_Response,Exact Schema Match
data/processed/dl_cleaned.csv,Progression_Status,Progression_Status,Exact Schema Match
data/processed/dl_cleaned.csv,Progression_Risk,Progression_Risk,Exact Schema Match
data/processed/dl_cleaned.csv,Image_Quality,Image_Quality,Exact Schema Match
data/processed/dl_cleaned.csv,Annotation_Status,Annotation_Status,Exact Schema Match
data/processed/dl_cleaned.csv,Clinical_Notes,Clinical_Notes,Exact Schema Match
data/processed/dl_cleaned.csv,Image_Source,Image_Source,Exact Schema Match
data/processed/dl_cleaned.csv,Image_Label_Confidence,Image_Label_Confidence,Exact Schema Match
data/processed/image_metadata.csv,Image_ID,Image_ID,Exact Schema Match
data/processed/image_metadata.csv,Patient_ID,Patient_ID,Exact Schema Match
data/processed/image_metadata.csv,Image_Type,Image_Type,Exact Schema Match
data/processed/image_metadata.csv,Image_Path,Image_Path,Exact Schema Match
data/processed/image_metadata.csv,Label,Label,Exact Schema Match
data/processed/image_metadata.csv,Cancer_Type,Cancer_Type,Exact Schema Match
data/processed/image_metadata.csv,Cancer_Stage,Cancer_Stage,Exact Schema Match
data/processed/image_metadata.csv,Tissue_Type,Tissue_Type,Exact Schema Match
data/processed/image_metadata.csv,Tumor_Grade,Tumor_Grade,Exact Schema Match
data/processed/image_metadata.csv,Image_Quality,Image_Quality,Exact Schema Match
data/processed/image_metadata.csv,Annotation_Status,Annotation_Status,Exact Schema Match
data/processed/image_metadata_clean.csv,Image_ID,Image_ID,Exact Schema Match
data/processed/image_metadata_clean.csv,Patient_ID,Patient_ID,Exact Schema Match
data/processed/image_metadata_clean.csv,Image_Type,Image_Type,Exact Schema Match
data/processed/image_metadata_clean.csv,Image_Path,Image_Path,Exact Schema Match
data/processed/image_metadata_clean.csv,Label,Label,Exact Schema Match
data/processed/image_metadata_clean.csv,Cancer_Type,Cancer_Type,Exact Schema Match
data/processed/image_metadata_clean.csv,Cancer_Stage,Cancer_Stage,Exact Schema Match
data/processed/image_metadata_clean.csv,Tissue_Type,Tissue_Type,Exact Schema Match
data/processed/image_metadata_clean.csv,Tumor_Grade,Tumor_Grade,Exact Schema Match
data/processed/image_metadata_clean.csv,Image_Quality,Image_Quality,Exact Schema Match
data/processed/image_metadata_clean.csv,Annotation_Status,Annotation_Status,Exact Schema Match
data/processed/patient_split.csv,Patient_ID,Patient_ID,Exact Schema Match
data/processed/patient_split.csv,Split,Split,Exact Schema Match
data/processed/temporal_biomarker_sequences.csv,Patient_ID,Patient_ID,Exact Schema Match
data/processed/temporal_biomarker_sequences.csv,Timepoint_Days,Biomarker_Timepoint_Days,Canonical Naming Standardization
data/processed/temporal_biomarker_sequences.csv,ctDNA_Level,ctDNA_Level,Exact Schema Match
data/processed/temporal_biomarker_sequences.csv,Protein_Marker,Protein_Marker,Exact Schema Match
data/processed/temporal_biomarker_sequences.csv,Protein_Marker_Level,Protein_Marker_Level,Exact Schema Match
data/processed/temporal_biomarker_sequences.csv,Tumor_Volume_cm3,Tumor_Volume_cm3,Exact Schema Match
data/processed/temporal_biomarker_sequences.csv,Tumor_Growth_Rate,Tumor_Growth_Rate,Exact Schema Match
data/processed/temporal_biomarker_sequences.csv,Progression_Status,Progression_Status,Exact Schema Match
data/processed/temporal_biomarker_sequences.csv,Progression_Risk,Progression_Risk,Exact Schema Match
data/processed/temporal_biomarker_sequences_clean.csv,Patient_ID,Patient_ID,Exact Schema Match
data/processed/temporal_biomarker_sequences_clean.csv,Timepoint_Days,Biomarker_Timepoint_Days,Canonical Naming Standardization
data/processed/temporal_biomarker_sequences_clean.csv,ctDNA_Level,ctDNA_Level,Exact Schema Match
data/processed/temporal_biomarker_sequences_clean.csv,Protein_Marker,Protein_Marker,Exact Schema Match
data/processed/temporal_biomarker_sequences_clean.csv,Protein_Marker_Level,Protein_Marker_Level,Exact Schema Match
data/processed/temporal_biomarker_sequences_clean.csv,Tumor_Volume_cm3,Tumor_Volume_cm3,Exact Schema Match
data/processed/temporal_biomarker_sequences_clean.csv,Tumor_Growth_Rate,Tumor_Growth_Rate,Exact Schema Match
data/processed/temporal_biomarker_sequences_clean.csv,Progression_Status,Progression_Status,Exact Schema Match
data/processed/temporal_biomarker_sequences_clean.csv,Progression_Risk,Progression_Risk,Exact Schema Match
data/raw/dl_raw_1000.csv,Patient_ID,Patient_ID,Exact Schema Match
data/raw/dl_raw_1000.csv,Encounter_ID,Encounter_ID,Exact Schema Match
data/raw/dl_raw_1000.csv,Encounter_Date,Encounter_Date,Exact Schema Match
data/raw/dl_raw_1000.csv,Cancer_Type,Cancer_Type,Exact Schema Match
data/raw/dl_raw_1000.csv,Cancer_Stage,Cancer_Stage,Exact Schema Match
data/raw/dl_raw_1000.csv,Age,Age,Exact Schema Match
data/raw/dl_raw_1000.csv,Sex,Sex,Exact Schema Match
data/raw/dl_raw_1000.csv,Organ_Site,Organ_Site,Exact Schema Match
data/raw/dl_raw_1000.csv,Histopathology_Image_ID,Histopathology_Image_ID,Exact Schema Match
data/raw/dl_raw_1000.csv,Histopathology_Image_Path,Histopathology_Image_Path,Exact Schema Match
data/raw/dl_raw_1000.csv,Tissue_Type,Tissue_Type,Exact Schema Match
data/raw/dl_raw_1000.csv,Histopathology_Label,Histopathology_Label,Exact Schema Match
data/raw/dl_raw_1000.csv,Tumor_Grade,Tumor_Grade,Exact Schema Match
data/raw/dl_raw_1000.csv,Tumor_Margin_Status,Tumor_Margin_Status,Exact Schema Match
data/raw/dl_raw_1000.csv,CT_Scan_ID,CT_Scan_ID,Exact Schema Match
data/raw/dl_raw_1000.csv,CT_Scan_Path,CT_Scan_Path,Exact Schema Match
data/raw/dl_raw_1000.csv,CT_Slice_Count,CT_Slice_Count,Exact Schema Match
data/raw/dl_raw_1000.csv,MRI_Scan_ID,MRI_Scan_ID,Exact Schema Match
data/raw/dl_raw_1000.csv,MRI_Scan_Path,MRI_Scan_Path,Exact Schema Match
data/raw/dl_raw_1000.csv,MRI_Sequence_Type,MRI_Sequence_Type,Exact Schema Match
data/raw/dl_raw_1000.csv,Tumor_Volume_cm3,Tumor_Volume_cm3,Exact Schema Match
data/raw/dl_raw_1000.csv,Biomarker_Timepoint_Days,Biomarker_Timepoint_Days,Exact Schema Match
data/raw/dl_raw_1000.csv,ctDNA_Level,ctDNA_Level,Exact Schema Match
data/raw/dl_raw_1000.csv,Protein_Marker,Protein_Marker,Exact Schema Match
data/raw/dl_raw_1000.csv,Protein_Marker_Level,Protein_Marker_Level,Exact Schema Match
data/raw/dl_raw_1000.csv,Tumor_Growth_Rate,Tumor_Growth_Rate,Exact Schema Match
data/raw/dl_raw_1000.csv,Treatment_Drug,Treatment_Drug,Exact Schema Match
data/raw/dl_raw_1000.csv,Treatment_Response,Treatment_Response,Exact Schema Match
data/raw/dl_raw_1000.csv,Progression_Status,Progression_Status,Exact Schema Match
data/raw/dl_raw_1000.csv,Progression_Risk,Progression_Risk,Exact Schema Match
data/raw/dl_raw_1000.csv,Image_Quality,Image_Quality,Exact Schema Match
data/raw/dl_raw_1000.csv,Annotation_Status,Annotation_Status,Exact Schema Match
data/raw/dl_raw_1000.csv,Clinical_Notes,Clinical_Notes,Exact Schema Match
data/raw/dl_raw_1000.csv,Image_Source,Image_Source,Exact Schema Match
data/raw/dl_raw_1000.csv,Image_Label_Confidence,Image_Label_Confidence,Exact Schema Match
